"state_abbrev,""state"",""municipality"",""geocode"",""year"",""sit"",""carpond"",""h"",""a"",""ipm"",""csaude"",""ceduca"",""ccv"",""cnv"",""totpescar"",""totpesres"""
"AM,""Amazonas"",""Novo Airão"",1303205,2000,""rural"",0.44356261,0.9390681,0.4934751,0.463406725,0.135354131,0.281020957,0.250267025,0.333357887,262,279"
"AM,""Amazonas"",""Novo Aripuanã"",1303304,2000,""rural"",0.456423433,0.984057971,0.469086191,0.461608006,0.041600012,0.316055437,0.261822178,0.380522374,679,690"
"AM,""Amazonas"",""Parintins"",1303403,2000,""rural"",0.50771742,0.98390197,0.529836037,0.521306721,0.109578443,0.28541094,0.280423368,0.32458725,4095,4162"
"AM,""Amazonas"",""Pauini"",1303502,2000,""rural"",0.503648009,0.974221267,0.543912427,0.529891054,0.105406423,0.284800046,0.24259404,0.36719949,907,931"
"AM,""Amazonas"",""Presidente Figueiredo"",1303536,2000,""rural"",0.301133787,0.67137005,0.463173527,0.310960834,0.183699501,0.302506482,0.21950888,0.294285137,1475,2197"
"AM,""Amazonas"",""Rio Preto da Eva"",1303569,2000,""rural"",0.36572177,0.851344974,0.435918858,0.371117328,0.071846606,0.34090049,0.279075471,0.308177434,1804,2119"
"AM,""Amazonas"",""Santa Isabel do Rio Negro"",1303601,2000,""rural"",0.452880328,0.963750985,0.489469688,0.471726894,0.064732063,0.281062441,0.233572375,0.420633121,1223,1269"
"AM,""Amazonas"",""Santo Antônio do Içá"",1303700,2000,""rural"",0.483373149,0.970263789,0.518856955,0.503428115,0.064069121,0.339002658,0.245524575,0.351403646,2023,2085"
"AM,""Amazonas"",""São Gabriel da Cachoeira"",1303809,2000,""rural"",0.397285853,0.913168488,0.447917416,0.40902407,0.062210663,0.285747281,0.261345036,0.390697021,1588,1739"
"AM,""Amazonas"",""São Paulo de Olivença"",1303908,2000,""rural"",0.50965858,0.994293866,0.52342864,0.520441886,0.041115067,0.311675047,0.240033675,0.407176211,1394,1402"
"AM,""Amazonas"",""São Sebastião do Uatumã"",1303957,2000,""rural"",0.583848134,1,0.600311791,0.600311791,0.182816705,0.276807215,0.228410218,0.311965862,672,672"
"AM,""Amazonas"",""Silves"",1304005,2000,""rural"",0.484026522,0.979683973,0.507194975,0.496890788,0.12720183,0.240585604,0.277523891,0.354688675,868,886"
"AM,""Amazonas"",""Tabatinga"",1304062,2000,""rural"",0.498816652,0.99689441,0.519653983,0.518040151,0.139006348,0.304614989,0.244345006,0.312033657,1284,1288"
"AM,""Amazonas"",""Tapauá"",1304104,2000,""rural"",0.490483701,0.99195597,0.510898726,0.506789041,0.061819375,0.333949936,0.248560432,0.355670257,2343,2362"
"AM,""Amazonas"",""Tefé"",1304203,2000,""rural"",0.524573561,0.979433018,0.54766364,0.536399852,0.140157861,0.329625728,0.220988273,0.309228139,1762,1799"
"AM,""Amazonas"",""Tonantins"",1304237,2000,""rural"",0.506770833,0.980054397,0.53639267,0.525693995,0.09700944,0.313591998,0.231282824,0.358115738,1081,1103"
"AM,""Amazonas"",""Uarini"",1304260,2000,""rural"",0.475257732,0.968973747,0.517411447,0.501358109,0.132496118,0.305455122,0.228666312,0.333382448,1218,1257"
"AM,""Amazonas"",""Urucará"",1304302,2000,""rural"",0.460130139,0.945807771,0.489927928,0.463377641,0.078334743,0.330624104,0.252657129,0.338384024,925,978"
"AM,""Amazonas"",""Urucurituba"",1304401,2000,""rural"",0.466068312,0.937625755,0.514732782,0.482626713,0.092239202,0.256220004,0.267784026,0.383756768,932,994"
"RR,""Roraima"",""Amajari"",1400027,2000,""rural"",0.336504175,0.794736842,0.419607379,0.333477444,0.098641565,0.294938279,0.250126825,0.356293332,604,760"
"RR,""Roraima"",""Alto Alegre"",1400050,2000,""rural"",0.356829824,0.829514207,0.40596422,0.336753088,0.027898929,0.30031042,0.321761164,0.350029487,905,1091"
"RR,""Roraima"",""Boa Vista"",1400100,2000,""rural"",0.294484937,0.706293706,0.49062942,0.346528472,0.138738739,0.23963964,0.240720721,0.380900901,202,286"
"RR,""Roraima"",""Bonfim"",1400159,2000,""rural"",0.390881834,0.894505495,0.43034398,0.384945055,0.048054049,0.317822819,0.280711771,0.353411362,1221,1365"
"RR,""Roraima"",""Cantá"",1400175,2000,""rural"",0.329244014,0.775193798,0.411614719,0.319081177,0.088343868,0.282332278,0.295163173,0.334160681,1100,1419"
"RR,""Roraima"",""Caracaraí"",1400209,2000,""rural"",0.362372742,0.740425532,0.456754242,0.338192503,0.175526369,0.263813826,0.209229589,0.351430215,870,1175"
"RR,""Roraima"",""Caroebe"",1400233,2000,""rural"",0.378985507,0.820621469,0.474817638,0.389645547,0.167652009,0.254045657,0.205843007,0.372459328,581,708"
"RR,""Roraima"",""Iracema"",1400282,2000,""rural"",0.407326007,0.880546075,0.461323367,0.40621648,0.149132809,0.285662846,0.233751425,0.33145292,258,293"
"RR,""Roraima"",""Mucajaí"",1400308,2000,""rural"",0.379900332,0.826283988,0.461134326,0.38102791,0.157587714,0.26396768,0.258115366,0.32032924,547,662"
"RR,""Roraima"",""Normandia"",1400407,2000,""rural"",0.397289015,0.95010846,0.430569145,0.409087388,0.035129249,0.328756747,0.296089385,0.340024619,876,922"
"RR,""Roraima"",""Pacaraima"",1400456,2000,""rural"",0.424442435,0.885,0.511386871,0.452577381,0.136026462,0.214972446,0.23595018,0.413050912,708,800"
"RR,""Roraima"",""Rorainópolis"",1400472,2000,""rural"",0.372499659,0.831226296,0.440420062,0.366088736,0.116549637,0.323173439,0.229275953,0.33100097,1315,1582"
"RR,""Roraima"",""São João da Baliza"",1400506,2000,""rural"",0.325396825,0.63583815,0.454588745,0.289044867,0.15498524,0.266641272,0.206408913,0.371964575,110,173"
"RR,""Roraima"",""São Luiz"",1400605,2000,""rural"",0.392616034,0.844380403,0.466942955,0.39427748,0.195520518,0.259475828,0.213532421,0.331471233,293,347"
"RR,""Roraima"",""Uiramutã"",1400704,2000,""rural"",0.415197084,0.939679548,0.481355973,0.452320363,0.067199833,0.310126362,0.243645907,0.379027897,997,1061"
"PA,""Pará"",""Abaetetuba"",1500107,2000,""rural"",0.459509274,0.963463066,0.492072979,0.474094141,0.141254291,0.258285582,0.282224367,0.31823576,4852,5036"
"PA,""Pará"",""Abel Figueiredo"",1500131,2000,""rural"",0.437433862,0.875536481,0.504925303,0.442080523,0.160186769,0.311474273,0.219129952,0.309209006,204,233"
